Date,Open,High,Low,Close
30-Oct-17,33260.1,33340.17,33206.93,33266.16
31-Oct-17,33254.93,33294.3,33164.28,33213.13
1-Nov-17,33344.23,33651.52,33340.62,33600.27
2-Nov-17,33615.84,33657.57,33527,33573.22
3-Nov-17,33667.34,33733.71,33531.94,33685.56
6-Nov-17,33710.15,33848.42,33582.38,33731.19
7-Nov-17,33781.01,33865.95,33341.82,33370.76
8-Nov-17,33417.35,33484.7,33157.68,33218.81
9-Nov-17,33376.62,33463.8,33111.54,33250.93
1-Dec-17,33247.66,33300.81,32797.78,32832.94
4-Dec-17,32968.02,33008.47,32785.76,32869.72
5-Dec-17,32814.03,32893.05,32682.52,32802.44
6-Dec-17,32798.5,32804.75,32565.16,32597.18
7-Dec-17,32615.05,32992.45,32598.12,32949.21
8-Dec-17,33034.2,33285.68,33034.2,33250.3
1-Jan-18,34059.99,34101.13,33766.15,33812.75
2-Jan-18,33913.55,33964.14,33703.37,33812.26
3-Jan-18,33929.61,33998.37,33765.43,33793.38
4-Jan-18,33912.49,33995.4,33802.13,33969.64
5-Jan-18,34021.27,34188.85,34020.84,34153.85
8-Jan-18,34216.33,34385.67,34216.33,34352.79
9-Jan-18,34431.61,34488.03,34343.41,34443.19
10-Jan-18,34538.78,34565.63,34311.63,34433.07
11-Jan-18,34471.48,34558.88,34400.61,34503.49
12-Jan-18,34578.99,34638.42,34342.16,34592.39
15-Jan-18,34687.21,34963.69,34687.21,34843.51
16-Jan-18,34877.71,34936.03,34735.55,34771.05
17-Jan-18,34753.8,35118.61,34700.82,35081.82
18-Jan-18,35366.45,35507.36,35166.44,35260.29
19-Jan-18,35339.11,35542.17,35221.16,35511.58
22-Jan-18,35613.97,35827.7,35544.68,35798.01
23-Jan-18,35868.19,36170.83,35863.98,36139.98
24-Jan-18,36161.62,36268.19,36036.51,36161.64
25-Jan-18,36208.39,36247.02,35823.35,36050.44
29-Jan-18,36106.36,36443.98,36093.36,36283.25
30-Jan-18,36277.12,36291.82,35993.41,36033.73
31-Jan-18,35951.64,36050.69,35818.41,35965.02
1-Feb-18,36048.99,36256.83,35501.74,35906.66
2-Feb-18,35707.6,35738.13,35006.41,35066.75
5-Feb-18,34718.85,34874.17,34520.8,34757.16
6-Feb-18,33753.78,34521.01,33482.81,34195.94
7-Feb-18,34563.3,34666.33,34008.42,34082.71
8-Feb-18,34208.11,34634.35,34108.76,34413.16
9-Feb-18,34002.45,34070.73,33849.65,34005.76
1-Mar-18,34141.22,34278.63,34015.79,34046.94
5-Mar-18,34034.28,34034.28,33653.41,33746.78
6-Mar-18,34047.43,34060.13,33209.76,33317.2
7-Mar-18,33279.39,33331.21,32991.14,33033.09
8-Mar-18,33244.52,33439.97,33037.48,33351.57
9-Mar-18,33465.05,33519.49,33256.42,33307.14
3-Apr-18,33197.42,33402.94,33153.83,33370.63
4-Apr-18,33437.52,33505.53,32972.56,33019.07
5-Apr-18,33289.96,33637.46,33267.86,33596.8
6-Apr-18,33608.59,33697.51,33501.37,33626.97
9-Apr-18,33653.61,33846.5,33578.91,33788.54
